,Age,Gender,Flavour
0,6,1,Chocolate
1,6,0,Strawberry
2,7,1,Chocolate
3,8,0,Strawberry
4,11,1,Butterscotch
5,10,0,Butterscotch
6,12,1,Butterscotch
7,14,0,Vanilla
8,15,1,Mango
9,15,0,Vanilla
10,17,1,Mango
11,16,0,Butterscotch
12,19,1,Almond & Chocolate
13,18,0,Butterscotch
14,20,1,Almond & Chocolate
15,20,0,Butterscotch
16,21,1,Coffee
17,22,0,Coffee
18,24,1,Almond & Chocolate
19,24,0,Coffee
20,13,0,Mango
21,19,0,Almond & Chocolate
22,15,1,Mango
23,15,1,Vanilla
24,17,1,Butterscotch
25,18,1,Mango
26,24,1,Almond & Chocolate
27,23,0,Almond & Chocolate
28,21,1,Almond & Chocolate
29,8,1,Strawberry
30,7,1,Strawberry
31,18,0,Mango
32,13,0,Vanilla
33,17,0,Mango
34,21,1,Coffee
35,15,1,Butterscotch
36,9,0,Butterscotch
37,20,0,Almond & Chocolate
38,20,0,Coffee
39,6,0,Chocolate
40,10,1,Strawberry
41,23,0,Coffee
42,7,1,Strawberry
43,19,1,Almond & Chocolate
44,14,0,Mango
45,6,0,Strawberry
46,11,0,Butterscotch
47,13,1,Mango
48,24,1,Coffee
49,17,1,Butterscotch
50,6,0,Strawberry
51,21,0,Coffee
52,16,0,Butterscotch
53,7,1,Strawberry
54,12,0,Strawberry
55,19,1,Butterscotch
56,11,0,Strawberry
57,8,0,Chocolate
58,14,1,Butterscotch
59,9,0,Butterscotch
60,17,0,Butterscotch
61,23,0,Butterscotch
62,18,0,Mango
63,8,0,Chocolate
64,7,0,Chocolate
65,9,1,Butterscotch
66,19,0,Butterscotch
67,15,0,Vanilla
68,12,1,Strawberry
69,13,1,Mango
70,16,0,Mango
71,10,0,Strawberry
72,19,0,Butterscotch
73,21,0,Butterscotch
74,21,1,Coffee
75,15,0,Mango
76,17,1,Butterscotch
77,9,0,Butterscotch
78,19,0,Coffee
79,9,0,Strawberry
80,19,1,Butterscotch
81,15,0,Butterscotch
82,18,0,Butterscotch
83,16,1,Mango
84,10,1,Strawberry
85,8,1,Chocolate
86,6,1,Chocolate
87,16,0,Butterscotch
88,7,1,Chocolate
89,22,0,Coffee
90,14,1,Mango
91,24,1,Butterscotch
92,24,1,Coffee
93,19,1,Coffee
